"","Section","Category","Example","job","jobcode"
"473","Technology","Analytical or scientific software","StataCorp Stata","Computer User Support Specialists","15-1151.00"
"474","Technology","Application server software","Oracle WebLogic Server","Computer User Support Specialists","15-1151.00"
"475","Technology","Application server software","Red Hat WildFly","Computer User Support Specialists","15-1151.00"
"476","Technology","Authentication server software","Password management software","Computer User Support Specialists","15-1151.00"
"477","Technology","Backup or archival software","Disaster recovery software","Computer User Support Specialists","15-1151.00"
"478","Technology","Backup or archival software","Microsoft Volume Shadow Copy Service","Computer User Support Specialists","15-1151.00"
"479","Technology","Backup or archival software","Symantec LiveState","Computer User Support Specialists","15-1151.00"
"480","Technology","Backup or archival software","Veritas NetBackup","Computer User Support Specialists","15-1151.00"
"481","Technology","Business intelligence and data analysis software","IBM Cognos Impromptu","Computer User Support Specialists","15-1151.00"
"482","Technology","Business intelligence and data analysis software","MicroStrategy","Computer User Support Specialists","15-1151.00"
"483","Technology","Business intelligence and data analysis software","Oracle Business Intelligence Enterprise Edition","Computer User Support Specialists","15-1151.00"
"484","Technology","Business intelligence and data analysis software","Qlik Tech QlikView","Computer User Support Specialists","15-1151.00"
"485","Technology","Business intelligence and data analysis software","Tableau","Computer User Support Specialists","15-1151.00"
"486","Technology","Calendar and scheduling software","","Computer User Support Specialists","15-1151.00"
"487","Technology","Communications server software","IBM Domino","Computer User Support Specialists","15-1151.00"
"488","Technology","Computer aided design CAD software","Autodesk AutoCAD","Computer User Support Specialists","15-1151.00"
"489","Technology","Computer aided design CAD software","Bentley MicroStation","Computer User Support Specialists","15-1151.00"
"490","Technology","Configuration management software","Automated installation software","Computer User Support Specialists","15-1151.00"
"491","Technology","Configuration management software","Chef","Computer User Support Specialists","15-1151.00"
"492","Technology","Configuration management software","Deployment software","Computer User Support Specialists","15-1151.00"
"493","Technology","Configuration management software","Patch management software","Computer User Support Specialists","15-1151.00"
"494","Technology","Configuration management software","Perforce Helix software","Computer User Support Specialists","15-1151.00"
"495","Technology","Configuration management software","Puppet","Computer User Support Specialists","15-1151.00"
"496","Technology","Content workflow software","Atlassian JIRA","Computer User Support Specialists","15-1151.00"
"497","Technology","Customer relationship management CRM software","Salesforce software","Computer User Support Specialists","15-1151.00"
"498","Technology","Data base management system software","Oracle PL/SQL","Computer User Support Specialists","15-1151.00"
"499","Technology","Data base management system software","Relational database management software","Computer User Support Specialists","15-1151.00"
"500","Technology","Data base management system software","Sybase","Computer User Support Specialists","15-1151.00"
"501","Technology","Data base management system software","Teradata Database","Computer User Support Specialists","15-1151.00"
"502","Technology","Data base reporting software","Microsoft SQL Server Reporting Services","Computer User Support Specialists","15-1151.00"
"503","Technology","Data base reporting software","SAP Crystal Reports","Computer User Support Specialists","15-1151.00"
"504","Technology","Data base user interface and query software","Blackboard","Computer User Support Specialists","15-1151.00"
"505","Technology","Data base user interface and query software","Data entry software","Computer User Support Specialists","15-1151.00"
"506","Technology","Data base user interface and query software","FileMaker Pro","Computer User Support Specialists","15-1151.00"
"507","Technology","Data base user interface and query software","iPro","Computer User Support Specialists","15-1151.00"
"508","Technology","Data base user interface and query software","Lucid IQ","Computer User Support Specialists","15-1151.00"
"509","Technology","Data base user interface and query software","Microsoft Access","Computer User Support Specialists","15-1151.00"
"510","Technology","Data base user interface and query software","Microsoft SQL Server","Computer User Support Specialists","15-1151.00"
"511","Technology","Data base user interface and query software","MySQL","Computer User Support Specialists","15-1151.00"
"512","Technology","Data base user interface and query software","Oracle JDBC","Computer User Support Specialists","15-1151.00"
"513","Technology","Data base user interface and query software","Software asset management SAM software","Computer User Support Specialists","15-1151.00"
"514","Technology","Data base user interface and query software","Structured query language SQL","Computer User Support Specialists","15-1151.00"
"515","Technology","Data base user interface and query software","Transact-SQL","Computer User Support Specialists","15-1151.00"
"516","Technology","Data base user interface and query software","Yardi","Computer User Support Specialists","15-1151.00"
"517","Technology","Desktop communications software","CrossTec NetOp Remote Control","Computer User Support Specialists","15-1151.00"
"518","Technology","Desktop communications software","Remote control software","Computer User Support Specialists","15-1151.00"
"519","Technology","Desktop communications software","Stac Software ReachOut","Computer User Support Specialists","15-1151.00"
"520","Technology","Desktop communications software","Symantec pcAnywhere","Computer User Support Specialists","15-1151.00"
"521","Technology","Desktop publishing software","Adobe Systems Adobe Distiller","Computer User Support Specialists","15-1151.00"
"522","Technology","Desktop publishing software","Adobe Systems Adobe InDesign","Computer User Support Specialists","15-1151.00"
"523","Technology","Desktop publishing software","Microsoft Publisher","Computer User Support Specialists","15-1151.00"
"524","Technology","Development environment software","Adobe Systems Adobe ActionScript","Computer User Support Specialists","15-1151.00"
"525","Technology","Development environment software","Apache Maven","Computer User Support Specialists","15-1151.00"
"526","Technology","Development environment software","C","Computer User Support Specialists","15-1151.00"
"527","Technology","Development environment software","Common business oriented language COBOL","Computer User Support Specialists","15-1151.00"
"528","Technology","Development environment software","Eclipse IDE","Computer User Support Specialists","15-1151.00"
"529","Technology","Development environment software","Integrated development environment IDE software","Computer User Support Specialists","15-1151.00"
"530","Technology","Development environment software","Microsoft .NET Framework","Computer User Support Specialists","15-1151.00"
"531","Technology","Development environment software","Microsoft PowerShell","Computer User Support Specialists","15-1151.00"
"532","Technology","Development environment software","Microsoft Visual Basic","Computer User Support Specialists","15-1151.00"
"533","Technology","Development environment software","Microsoft Visual Basic Scripting Edition VBScript","Computer User Support Specialists","15-1151.00"
"534","Technology","Development environment software","Microsoft Visual Studio","Computer User Support Specialists","15-1151.00"
"535","Technology","Development environment software","Ruby","Computer User Support Specialists","15-1151.00"
"536","Technology","Document management software","Adobe Systems Adobe Acrobat","Computer User Support Specialists","15-1151.00"
"537","Technology","Electronic mail software","IBM Notes","Computer User Support Specialists","15-1151.00"
"538","Technology","Electronic mail software","Microsoft Exchange Server","Computer User Support Specialists","15-1151.00"
"539","Technology","Electronic mail software","Microsoft Outlook","Computer User Support Specialists","15-1151.00"
"540","Technology","Enterprise application integration software","Extensible markup language XML","Computer User Support Specialists","15-1151.00"
"541","Technology","Enterprise application integration software","IBM WebSphere","Computer User Support Specialists","15-1151.00"
"542","Technology","Enterprise resource planning ERP software","Microsoft Dynamics","Computer User Support Specialists","15-1151.00"
"543","Technology","Enterprise resource planning ERP software","Microsoft Dynamics GP","Computer User Support Specialists","15-1151.00"
"544","Technology","Enterprise resource planning ERP software","NetSuite ERP","Computer User Support Specialists","15-1151.00"
"545","Technology","Enterprise resource planning ERP software","Oracle Fusion Applications","Computer User Support Specialists","15-1151.00"
"546","Technology","Enterprise resource planning ERP software","Oracle JD Edwards EnterpriseOne","Computer User Support Specialists","15-1151.00"
"547","Technology","Enterprise resource planning ERP software","Oracle PeopleSoft","Computer User Support Specialists","15-1151.00"
"548","Technology","Enterprise resource planning ERP software","SAP","Computer User Support Specialists","15-1151.00"
"549","Technology","Enterprise resource planning ERP software","SAP Business Objects","Computer User Support Specialists","15-1151.00"
"550","Technology","Enterprise system management software","IBM Power Systems software","Computer User Support Specialists","15-1151.00"
"551","Technology","Enterprise system management software","Splunk Enterprise","Computer User Support Specialists","15-1151.00"
"552","Technology","Filesystem software","Desktop partitioning software","Computer User Support Specialists","15-1151.00"
"553","Technology","Filesystem software","Symantec Norton Utilities","Computer User Support Specialists","15-1151.00"
"554","Technology","Financial analysis software","Oracle E-Business Suite Financials","Computer User Support Specialists","15-1151.00"
"555","Technology","Graphics or photo imaging software","Adobe Systems Adobe Creative Cloud","Computer User Support Specialists","15-1151.00"
"556","Technology","Graphics or photo imaging software","Adobe Systems Adobe Fireworks","Computer User Support Specialists","15-1151.00"
"557","Technology","Graphics or photo imaging software","Adobe Systems Adobe Flash","Computer User Support Specialists","15-1151.00"
"558","Technology","Graphics or photo imaging software","Adobe Systems Adobe Illustrator","Computer User Support Specialists","15-1151.00"
"559","Technology","Graphics or photo imaging software","Adobe Systems Adobe Photoshop","Computer User Support Specialists","15-1151.00"
"560","Technology","Graphics or photo imaging software","Microsoft Visio","Computer User Support Specialists","15-1151.00"
"561","Technology","Graphics or photo imaging software","Trimble SketchUp Pro","Computer User Support Specialists","15-1151.00"
"562","Technology","Helpdesk or call center software","Call center software","Computer User Support Specialists","15-1151.00"
"563","Technology","Helpdesk or call center software","Help desk software","Computer User Support Specialists","15-1151.00"
"564","Technology","Human resources software","Human resource management software HRMS","Computer User Support Specialists","15-1151.00"
"565","Technology","Information retrieval or search software","Information systems integration software","Computer User Support Specialists","15-1151.00"
"566","Technology","Information retrieval or search software","LexisNexis","Computer User Support Specialists","15-1151.00"
"567","Technology","Internet browser software","","Computer User Support Specialists","15-1151.00"
"568","Technology","Internet directory services software","Active directory software","Computer User Support Specialists","15-1151.00"
"569","Technology","Internet directory services software","Domain name system DNS","Computer User Support Specialists","15-1151.00"
"570","Technology","Internet directory services software","Network directory services software","Computer User Support Specialists","15-1151.00"
"571","Technology","License management software","","Computer User Support Specialists","15-1151.00"
"572","Technology","Map creation software","ESRI ArcGIS software","Computer User Support Specialists","15-1151.00"
"573","Technology","Medical software","Epic Systems","Computer User Support Specialists","15-1151.00"
"574","Technology","Medical software","MEDITECH software","Computer User Support Specialists","15-1151.00"
"575","Technology","Network monitoring software","Dartware InterMapper","Computer User Support Specialists","15-1151.00"
"576","Technology","Network monitoring software","Nagios","Computer User Support Specialists","15-1151.00"
"577","Technology","Network monitoring software","Wireshark","Computer User Support Specialists","15-1151.00"
"578","Technology","Network operation system software","Remote install server software","Computer User Support Specialists","15-1151.00"
"579","Technology","Network security or virtual private network VPN management software","Virtual private networking VPN software","Computer User Support Specialists","15-1151.00"
"580","Technology","Object or component oriented development software","Advanced business application programming ABAP","Computer User Support Specialists","15-1151.00"
"581","Technology","Object or component oriented development software","C#","Computer User Support Specialists","15-1151.00"
"582","Technology","Object or component oriented development software","C++","Computer User Support Specialists","15-1151.00"
"583","Technology","Object or component oriented development software","Microsoft ActiveX","Computer User Support Specialists","15-1151.00"
"584","Technology","Object or component oriented development software","Oracle Java","Computer User Support Specialists","15-1151.00"
"585","Technology","Object or component oriented development software","Practical extraction and reporting language Perl","Computer User Support Specialists","15-1151.00"
"586","Technology","Object or component oriented development software","Python","Computer User Support Specialists","15-1151.00"
"587","Technology","Object or component oriented development software","Swift","Computer User Support Specialists","15-1151.00"
"588","Technology","Object oriented data base management software","Hibernate ORM","Computer User Support Specialists","15-1151.00"
"589","Technology","Object oriented data base management software","PostgreSQL","Computer User Support Specialists","15-1151.00"
"590","Technology","Office suite software","Microsoft Office","Computer User Support Specialists","15-1151.00"
"591","Technology","Operating system software","Bash","Computer User Support Specialists","15-1151.00"
"592","Technology","Operating system software","Cisco Systems IOS","Computer User Support Specialists","15-1151.00"
"593","Technology","Operating system software","Event log monitor software","Computer User Support Specialists","15-1151.00"
"594","Technology","Operating system software","Hewlett Packard HP-UX","Computer User Support Specialists","15-1151.00"
"595","Technology","Operating system software","Job control language JCL","Computer User Support Specialists","15-1151.00"
"596","Technology","Operating system software","KornShell","Computer User Support Specialists","15-1151.00"
"597","Technology","Operating system software","Linux","Computer User Support Specialists","15-1151.00"
"598","Technology","Operating system software","Microsoft Windows","Computer User Support Specialists","15-1151.00"
"599","Technology","Operating system software","Microsoft Windows Pre-installation Environment","Computer User Support Specialists","15-1151.00"
"600","Technology","Operating system software","Operating system monitoring software","Computer User Support Specialists","15-1151.00"
"601","Technology","Operating system software","Oracle Solaris","Computer User Support Specialists","15-1151.00"
"602","Technology","Operating system software","Red Hat Enterprise Linux","Computer User Support Specialists","15-1151.00"
"603","Technology","Operating system software","Ubuntu","Computer User Support Specialists","15-1151.00"
"604","Technology","Operating system software","UNIX","Computer User Support Specialists","15-1151.00"
"605","Technology","Platform interconnectivity software","Migration software","Computer User Support Specialists","15-1151.00"
"606","Technology","Portal server software","Apache HTTP Server","Computer User Support Specialists","15-1151.00"
"607","Technology","Presentation software","Microsoft PowerPoint","Computer User Support Specialists","15-1151.00"
"608","Technology","Program testing software","Defect tracking software","Computer User Support Specialists","15-1151.00"
"609","Technology","Program testing software","Hewlett Packard LoadRunner","Computer User Support Specialists","15-1151.00"
"610","Technology","Program testing software","Personal computer diagnostic software","Computer User Support Specialists","15-1151.00"
"611","Technology","Project management software","Microsoft Project","Computer User Support Specialists","15-1151.00"
"612","Technology","Project management software","Microsoft SharePoint","Computer User Support Specialists","15-1151.00"
"613","Technology","Sales and marketing software","Marketo Marketing Automation","Computer User Support Specialists","15-1151.00"
"614","Technology","Spreadsheet software","Microsoft Excel","Computer User Support Specialists","15-1151.00"
"615","Technology","Storage networking software","Media storage management software","Computer User Support Specialists","15-1151.00"
"616","Technology","Transaction security and virus protection software","Encryption software","Computer User Support Specialists","15-1151.00"
"617","Technology","Transaction security and virus protection software","McAfee","Computer User Support Specialists","15-1151.00"
"618","Technology","Transaction security and virus protection software","Symantec","Computer User Support Specialists","15-1151.00"
"619","Technology","Transaction security and virus protection software","Virus scanning software","Computer User Support Specialists","15-1151.00"
"620","Technology","Transaction server software","Customer information control system CICS","Computer User Support Specialists","15-1151.00"
"621","Technology","Video creation and editing software","Apple Final Cut Pro","Computer User Support Specialists","15-1151.00"
"622","Technology","Web page creation and editing software","Adobe Systems Adobe Dreamweaver","Computer User Support Specialists","15-1151.00"
"623","Technology","Web platform development software","AJAX","Computer User Support Specialists","15-1151.00"
"624","Technology","Web platform development software","Apache Struts","Computer User Support Specialists","15-1151.00"
"625","Technology","Web platform development software","Apache Tomcat","Computer User Support Specialists","15-1151.00"
"626","Technology","Web platform development software","Drupal","Computer User Support Specialists","15-1151.00"
"627","Technology","Web platform development software","Dynamic hypertext markup language DHTML","Computer User Support Specialists","15-1151.00"
"628","Technology","Web platform development software","Enterprise JavaBeans","Computer User Support Specialists","15-1151.00"
"629","Technology","Web platform development software","Ext JS","Computer User Support Specialists","15-1151.00"
"630","Technology","Web platform development software","Extensible HyperText Markup Language XHTML","Computer User Support Specialists","15-1151.00"
"631","Technology","Web platform development software","Hypertext markup language HTML","Computer User Support Specialists","15-1151.00"
"632","Technology","Web platform development software","JavaScript","Computer User Support Specialists","15-1151.00"
"633","Technology","Web platform development software","LAMP Stack","Computer User Support Specialists","15-1151.00"
"634","Technology","Web platform development software","Microsoft ASP.NET","Computer User Support Specialists","15-1151.00"
"635","Technology","Web platform development software","Oracle JavaServer Pages JSP","Computer User Support Specialists","15-1151.00"
"636","Technology","Web platform development software","PHP: Hypertext Preprocessor","Computer User Support Specialists","15-1151.00"
"637","Technology","Word processing software","Microsoft Word","Computer User Support Specialists","15-1151.00"
"638","Technology","Accounting software","Deltek Costpoint","Compensation and Benefits managers","11-3111.00"
"639","Technology","Accounting software","Intuit QuickBooks","Compensation and Benefits managers","11-3111.00"
"640","Technology","Analytical or scientific software","Business analysis software","Compensation and Benefits managers","11-3111.00"
"641","Technology","Analytical or scientific software","Relex Weibull","Compensation and Benefits managers","11-3111.00"
"642","Technology","Data base reporting software","AdRelevance","Compensation and Benefits managers","11-3111.00"
"643","Technology","Data base user interface and query software","Microsoft Access","Compensation and Benefits managers","11-3111.00"
"644","Technology","Data base user interface and query software","Microsoft Dynamics Marketing","Compensation and Benefits managers","11-3111.00"
"645","Technology","Data base user interface and query software","PaloAlto Advertising Plan Pro","Compensation and Benefits managers","11-3111.00"
"646","Technology","Data base user interface and query software","Structured query language SQL","Compensation and Benefits managers","11-3111.00"
"647","Technology","Desktop publishing software","Adobe Systems Adobe PageMaker","Compensation and Benefits managers","11-3111.00"
"648","Technology","Desktop publishing software","Quark","Compensation and Benefits managers","11-3111.00"
"649","Technology","Document management software","Atlas Business Solutions Staff Files","Compensation and Benefits managers","11-3111.00"
"650","Technology","Document management software","Document management system software","Compensation and Benefits managers","11-3111.00"
"651","Technology","Electronic mail software","IBM Notes","Compensation and Benefits managers","11-3111.00"
"652","Technology","Electronic mail software","Microsoft Outlook","Compensation and Benefits managers","11-3111.00"
"653","Technology","Enterprise resource planning ERP software","Brainworks","Compensation and Benefits managers","11-3111.00"
"654","Technology","Enterprise resource planning ERP software","Microsoft Dynamics GP","Compensation and Benefits managers","11-3111.00"
"655","Technology","Enterprise resource planning ERP software","Oracle Hyperion","Compensation and Benefits managers","11-3111.00"
"656","Technology","Enterprise resource planning ERP software","SAP","Compensation and Benefits managers","11-3111.00"
"657","Technology","Graphics or photo imaging software","Adobe Systems Adobe Illustrator","Compensation and Benefits managers","11-3111.00"
"658","Technology","Graphics or photo imaging software","Adobe Systems Adobe Photoshop","Compensation and Benefits managers","11-3111.00"
"659","Technology","Graphics or photo imaging software","Microsoft Visio","Compensation and Benefits managers","11-3111.00"
"660","Technology","Human resources software","ADP Workforce Now","Compensation and Benefits managers","11-3111.00"
"661","Technology","Human resources software","Human resource management software HRMS","Compensation and Benefits managers","11-3111.00"
"662","Technology","Human resources software","Ultimate Software UltiPro","Compensation and Benefits managers","11-3111.00"
"663","Technology","Human resources software","Vantage Point Software HRA","Compensation and Benefits managers","11-3111.00"
"664","Technology","Internet browser software","Web browser software","Compensation and Benefits managers","11-3111.00"
"665","Technology","Medical software","e-MDs Bill","Compensation and Benefits managers","11-3111.00"
"666","Technology","Office suite software","Microsoft Office","Compensation and Benefits managers","11-3111.00"
"667","Technology","Presentation software","Microsoft PowerPoint","Compensation and Benefits managers","11-3111.00"
"668","Technology","Project management software","Experience in Software Webplanner","Compensation and Benefits managers","11-3111.00"
"669","Technology","Project management software","Microsoft Project","Compensation and Benefits managers","11-3111.00"
"670","Technology","Project management software","Microsoft SharePoint","Compensation and Benefits managers","11-3111.00"
"671","Technology","Spreadsheet software","Microsoft Excel","Compensation and Benefits managers","11-3111.00"
"672","Technology","Video creation and editing software","Apple iMovie","Compensation and Benefits managers","11-3111.00"
"673","Technology","Web page creation and editing software","Adobe Systems Adobe Dreamweaver","Compensation and Benefits managers","11-3111.00"
"674","Technology","Web page creation and editing software","Adobe Systems Adobe Flash Player","Compensation and Benefits managers","11-3111.00"
"675","Technology","Word processing software","Microsoft Word","Compensation and Benefits managers","11-3111.00"
"676","Technology","Analytical or scientific software","Minitab","Market Research Analysts and Marketing Specialists","13-1161.00"
"677","Technology","Analytical or scientific software","Provalis Research Simstat","Market Research Analysts and Marketing Specialists","13-1161.00"
"678","Technology","Analytical or scientific software","TNS Miriad","Market Research Analysts and Marketing Specialists","13-1161.00"
"679","Technology","Analytical or scientific software","WinCross","Market Research Analysts and Marketing Specialists","13-1161.00"
"680","Technology","Business intelligence and data analysis software","IBM Cognos Impromptu","Market Research Analysts and Marketing Specialists","13-1161.00"
"681","Technology","Business intelligence and data analysis software","MicroStrategy","Market Research Analysts and Marketing Specialists","13-1161.00"
"682","Technology","Business intelligence and data analysis software","Oracle Business Intelligence Enterprise Edition","Market Research Analysts and Marketing Specialists","13-1161.00"
"683","Technology","Business intelligence and data analysis software","Qlik Tech QlikView","Market Research Analysts and Marketing Specialists","13-1161.00"
"684","Technology","Categorization or classification software","Map Maker","Market Research Analysts and Marketing Specialists","13-1161.00"
"685","Technology","Content workflow software","Adxstudio, for Microsoft","Market Research Analysts and Marketing Specialists","13-1161.00"
"686","Technology","Customer relationship management CRM software","Blackbaud The Raiser's Edge","Market Research Analysts and Marketing Specialists","13-1161.00"
"687","Technology","Customer relationship management CRM software","Oracle Eloqua","Market Research Analysts and Marketing Specialists","13-1161.00"
"688","Technology","Customer relationship management CRM software","Sage ACT!","Market Research Analysts and Marketing Specialists","13-1161.00"
"689","Technology","Customer relationship management CRM software","Salesforce software","Market Research Analysts and Marketing Specialists","13-1161.00"
"690","Technology","Data base management system software","Apache Hadoop","Market Research Analysts and Marketing Specialists","13-1161.00"
"691","Technology","Data base management system software","Apache Hive","Market Research Analysts and Marketing Specialists","13-1161.00"
"692","Technology","Data base management system software","Teradata Database","Market Research Analysts and Marketing Specialists","13-1161.00"
"693","Technology","Data base reporting software","SAP Crystal Reports","Market Research Analysts and Marketing Specialists","13-1161.00"
"694","Technology","Data base user interface and query software","FileMaker Pro","Market Research Analysts and Marketing Specialists","13-1161.00"
"695","Technology","Data base user interface and query software","Microsoft Access","Market Research Analysts and Marketing Specialists","13-1161.00"
"696","Technology","Data base user interface and query software","Structured query language SQL","Market Research Analysts and Marketing Specialists","13-1161.00"
"697","Technology","Data base user interface and query software","WorldAPP KeySurvey Suite","Market Research Analysts and Marketing Specialists","13-1161.00"
"698","Technology","Data mining software","Google Analytics","Market Research Analysts and Marketing Specialists","13-1161.00"
"699","Technology","Data mining software","IBM Intelligent Miner","Market Research Analysts and Marketing Specialists","13-1161.00"
"700","Technology","Data mining software","NCR Teradata Warehouse Miner","Market Research Analysts and Marketing Specialists","13-1161.00"
"701","Technology","Data mining software","Oracle Darwin","Market Research Analysts and Marketing Specialists","13-1161.00"
"702","Technology","Desktop publishing software","Adobe Systems Adobe InDesign","Market Research Analysts and Marketing Specialists","13-1161.00"
"703","Technology","Desktop publishing software","LogiXML Ad-HOC","Market Research Analysts and Marketing Specialists","13-1161.00"
"704","Technology","Desktop publishing software","Microsoft Publisher","Market Research Analysts and Marketing Specialists","13-1161.00"
"705","Technology","Desktop publishing software","Sawtooth SSI Web","Market Research Analysts and Marketing Specialists","13-1161.00"
"706","Technology","Development environment software","Adobe Systems Adobe ActionScript","Market Research Analysts and Marketing Specialists","13-1161.00"
"707","Technology","Development environment software","Microsoft Visual Basic","Market Research Analysts and Marketing Specialists","13-1161.00"
"708","Technology","Document management software","Adobe Systems Adobe Acrobat","Market Research Analysts and Marketing Specialists","13-1161.00"
"709","Technology","Electronic mail software","Microsoft Outlook","Market Research Analysts and Marketing Specialists","13-1161.00"
"710","Technology","Enterprise resource planning ERP software","Microsoft Dynamics","Market Research Analysts and Marketing Specialists","13-1161.00"
"711","Technology","Enterprise resource planning ERP software","NetSuite ERP","Market Research Analysts and Marketing Specialists","13-1161.00"
"712","Technology","Enterprise resource planning ERP software","Oracle PeopleSoft","Market Research Analysts and Marketing Specialists","13-1161.00"
"713","Technology","Enterprise resource planning ERP software","SAP","Market Research Analysts and Marketing Specialists","13-1161.00"
"714","Technology","Expert system software","Digivey software (expert system feature)","Market Research Analysts and Marketing Specialists","13-1161.00"
"715","Technology","Financial analysis software","Delphi Technology","Market Research Analysts and Marketing Specialists","13-1161.00"
"716","Technology","Financial analysis software","Financial planning software","Market Research Analysts and Marketing Specialists","13-1161.00"
"717","Technology","Graphics or photo imaging software","Adobe Systems Adobe Creative Cloud","Market Research Analysts and Marketing Specialists","13-1161.00"
"718","Technology","Graphics or photo imaging software","Adobe Systems Adobe Photoshop","Market Research Analysts and Marketing Specialists","13-1161.00"
"719","Technology","Graphics or photo imaging software","Microsoft Visio","Market Research Analysts and Marketing Specialists","13-1161.00"
"720","Technology","Graphics or photo imaging software","Thomson Dialog","Market Research Analysts and Marketing Specialists","13-1161.00"
"721","Technology","Information retrieval or search software","Factiva","Market Research Analysts and Marketing Specialists","13-1161.00"
"722","Technology","Information retrieval or search software","LexisNexis","Market Research Analysts and Marketing Specialists","13-1161.00"
"723","Technology","Information retrieval or search software","Mintel Reports","Market Research Analysts and Marketing Specialists","13-1161.00"
"724","Technology","Information retrieval or search software","Verispan Patient Parameters","Market Research Analysts and Marketing Specialists","13-1161.00"
"725","Technology","Internet browser software","Web browser software","Market Research Analysts and Marketing Specialists","13-1161.00"
"726","Technology","Map creation software","ESRI ArcGIS software","Market Research Analysts and Marketing Specialists","13-1161.00"
"727","Technology","Object or component oriented development software","R","Market Research Analysts and Marketing Specialists","13-1161.00"
"728","Technology","Office suite software","Microsoft Office","Market Research Analysts and Marketing Specialists","13-1161.00"
"729","Technology","Point of sale POS software","Digivey software (point of sale feature)","Market Research Analysts and Marketing Specialists","13-1161.00"
"730","Technology","Presentation software","Microsoft PowerPoint","Market Research Analysts and Marketing Specialists","13-1161.00"
"731","Technology","Project management software","ClassApps SelectSurveyASP","Market Research Analysts and Marketing Specialists","13-1161.00"
"732","Technology","Project management software","Microsoft Project","Market Research Analysts and Marketing Specialists","13-1161.00"
"733","Technology","Project management software","Microsoft SharePoint","Market Research Analysts and Marketing Specialists","13-1161.00"
"734","Technology","Project management software","Perseus SurveySolutions","Market Research Analysts and Marketing Specialists","13-1161.00"
"735","Technology","Sales and marketing software","Google AdWords","Market Research Analysts and Marketing Specialists","13-1161.00"
"736","Technology","Sales and marketing software","Marketo Marketing Automation","Market Research Analysts and Marketing Specialists","13-1161.00"
"737","Technology","Spreadsheet software","Microsoft Excel","Market Research Analysts and Marketing Specialists","13-1161.00"
"738","Technology","Transaction security and virus protection software","Symantec","Market Research Analysts and Marketing Specialists","13-1161.00"
"739","Technology","Video creation and editing software","Adobe Systems Adobe AfterEffects","Market Research Analysts and Marketing Specialists","13-1161.00"
"740","Technology","Video creation and editing software","Apple Final Cut Pro","Market Research Analysts and Marketing Specialists","13-1161.00"
"741","Technology","Video creation and editing software","YouTube","Market Research Analysts and Marketing Specialists","13-1161.00"
"742","Technology","Web page creation and editing software","Adobe Systems Adobe Dreamweaver","Market Research Analysts and Marketing Specialists","13-1161.00"
"743","Technology","Web page creation and editing software","Adobe Systems Adobe Flash Player","Market Research Analysts and Marketing Specialists","13-1161.00"
"744","Technology","Web page creation and editing software","Facebook","Market Research Analysts and Marketing Specialists","13-1161.00"
"745","Technology","Web page creation and editing software","LinkedIn","Market Research Analysts and Marketing Specialists","13-1161.00"
"746","Technology","Web platform development software","Cascading Style Sheets CSS","Market Research Analysts and Marketing Specialists","13-1161.00"
"747","Technology","Web platform development software","Drupal","Market Research Analysts and Marketing Specialists","13-1161.00"
"748","Technology","Web platform development software","Dynamic hypertext markup language DHTML","Market Research Analysts and Marketing Specialists","13-1161.00"
"749","Technology","Web platform development software","JavaScript","Market Research Analysts and Marketing Specialists","13-1161.00"
"750","Technology","Word processing software","Microsoft Word","Market Research Analysts and Marketing Specialists","13-1161.00"
"751","Technology","Accounting software","Fund accounting software","Auditors","13-2011.02"
"752","Technology","Accounting software","Intuit QuickBooks","Auditors","13-2011.02"
"753","Technology","Accounting software","Sage 50 Accounting","Auditors","13-2011.02"
"754","Technology","Accounting software","Sageworks ProfitCents","Auditors","13-2011.02"
"755","Technology","Analytical or scientific software","ACL Audit Exchange","Auditors","13-2011.02"
"756","Technology","Analytical or scientific software","Arbutus Analyzer","Auditors","13-2011.02"
"757","Technology","Analytical or scientific software","Guidance Software EnCase Enterprise","Auditors","13-2011.02"
"758","Technology","Analytical or scientific software","SAS","Auditors","13-2011.02"
"759","Technology","Business intelligence and data analysis software","IBM Cognos Impromptu","Auditors","13-2011.02"
"760","Technology","Business intelligence and data analysis software","Qlik Tech QlikView","Auditors","13-2011.02"
"761","Technology","Business intelligence and data analysis software","Tableau","Auditors","13-2011.02"
"762","Technology","Compliance software","Intrax ProcedureNet","Auditors","13-2011.02"
"763","Technology","Compliance software","Paisley Cardmap","Auditors","13-2011.02"
"764","Technology","Compliance software","Sage HandiSoft HandiLedger","Auditors","13-2011.02"
"765","Technology","Compliance software","TrendTracker Compliance Solution","Auditors","13-2011.02"
"766","Technology","Data base user interface and query software","Data entry software","Auditors","13-2011.02"
"767","Technology","Data base user interface and query software","Microsoft Access","Auditors","13-2011.02"
"768","Technology","Data base user interface and query software","Structured query language SQL","Auditors","13-2011.02"
"769","Technology","Data mining software","Data extraction software","Auditors","13-2011.02"
"770","Technology","Data mining software","WizSoft WizWhy","Auditors","13-2011.02"
"771","Technology","Development environment software","Microsoft Visual Basic","Auditors","13-2011.02"
"772","Technology","Electronic mail software","IBM Notes","Auditors","13-2011.02"
"773","Technology","Enterprise resource planning ERP software","Lawson ERP","Auditors","13-2011.02"
"774","Technology","Enterprise resource planning ERP software","Microsoft Dynamics GP","Auditors","13-2011.02"
"775","Technology","Enterprise resource planning ERP software","Oracle Fusion Applications","Auditors","13-2011.02"
